"Participant","corrected_score"
"001",0.964285714285714
"002",0.785714285714286
"003",0.892857142857143
"004",0.928571428571429
"005",1
"006",0.678571428571429
"007",0.928571428571429
"008",1
"009",0.821428571428571
"010",0.678571428571429
"011",0.607142857142857
"012",0.857142857142857
"013",0.857142857142857
"014",0.678571428571429
"015",0.785714285714286
"016",0.821428571428571
"017",0.857142857142857
"018",0.857142857142857
"019",0.821428571428571
"020",0.642857142857143
"021",0.857142857142857
"022",0.714285714285714
"023",0.821428571428571
"024",0.928571428571429
"025",0.785714285714286
"026",0.607142857142857
"027",0.714285714285714
"028",0.714285714285714
"029",0.785714285714286
"030",0.821428571428571
"031",0.5
"032",0.714285714285714
"033",0.857142857142857
"034",0.75
"035",0.964285714285714
"036",0.75
"037",1
"038",0.857142857142857
"039",0.857142857142857
"040",0.928571428571429
"041",0.821428571428571
"042",0.607142857142857
"043",0.75
"044",0.75
"045",0.75
"046",0.964285714285714
"047",0.821428571428571
"048",0.285714285714286
"049",0.964285714285714
"050",0.892857142857143
"051",0.821428571428571
"052",0.857142857142857
"053",0.75
"054",0.714285714285714
"055",0.678571428571429
"056",0.785714285714286
"057",0.892857142857143
"058",0.857142857142857
"059",0.857142857142857
"060",0.75
"061",0.892857142857143
"062",0.821428571428571
"063",0.75
"064",0.714285714285714
"065",0.535714285714286
"066",0.964285714285714
"067",0.892857142857143
"068",0.964285714285714
"069",0.892857142857143
"070",0.821428571428571
"071",0.785714285714286
"072",0.714285714285714
"073",0.964285714285714
"074",0.642857142857143
"075",0.75
"076",0.678571428571429
"077",0.964285714285714
"078",0.75
"079",0.714285714285714
"080",0.678571428571429
"081",1
"082",0.928571428571429
"083",0.928571428571429
"084",0.964285714285714
"085",0.857142857142857
"086",0.714285714285714
"087",0.75
"088",0.785714285714286
"089",0.892857142857143
"090",0.857142857142857
"091",0.678571428571429
"092",0.5
"093",0.714285714285714
"094",0.857142857142857
"095",0.678571428571429
"096",0.714285714285714
"097",0.857142857142857
"098",0.857142857142857
"099",0.75
"100",0.892857142857143
"101",0.821428571428571
"102",0.75
"103",0.892857142857143
"104",0.892857142857143
"105",0.821428571428571
"107",0.714285714285714
"108",0.857142857142857
"109",0.785714285714286
"110",0.785714285714286
"111",0.821428571428571
"112",1
"113",0.678571428571429
"114",0.714285714285714
"115",0.75
"116",0.821428571428571
"117",0.892857142857143
"118",0.642857142857143
"119",0.785714285714286
"120",0.821428571428571
"121",0.857142857142857
"122",0.857142857142857
"123",0.928571428571429
"124",0.714285714285714
"125",0.928571428571429
"126",0.892857142857143
"127",0.678571428571429
"128",0.928571428571429
"129",0.785714285714286
"130",0.821428571428571
"131",0.571428571428571
"132",0.714285714285714
"133",0.75
"134",0.714285714285714
"135",0.607142857142857
"136",0.892857142857143
"137",0.892857142857143
"138",0.964285714285714
"139",0.892857142857143
"140",0.642857142857143
"141",0.821428571428571
"142",0.75
"143",0.75
"144",1
"145",0.892857142857143
"146",0.642857142857143
"147",0.642857142857143
"148",0.571428571428571
"149",0.75
"150",0.785714285714286
"151",0.785714285714286
"152",0.607142857142857
"153",0.892857142857143
"154",0.785714285714286
"155",0.821428571428571
"156",0.714285714285714
"157",0.892857142857143
"158",0.892857142857143
"159",0.785714285714286
"160",0.785714285714286
"161",0.857142857142857
"162",0.857142857142857
"164",0.964285714285714
"165",0.928571428571429
"166",0.892857142857143
"167",0.857142857142857
"168",0.892857142857143
"169",0.964285714285714
"170",0.821428571428571
"171",0.964285714285714
"172",0.964285714285714
"173",0.642857142857143
"174",0.75
"175",0.75
"176",0.857142857142857
"177",0.714285714285714
"178",0.678571428571429
"179",0.928571428571429
"180",0.75
